time_s,temperature_c,setpoint_c,equipment_state,requested_cooling_fraction,cooling_fraction,start_command,stop_command,flow_proven,reset_command
1360.0,11.703870647972144,7.0,OFF,1.0,0.0,False,False,False,False
1370.0,11.775640982900374,7.0,OFF,1.0,0.0,False,False,False,False
1380.0,11.847411317828604,7.0,OFF,1.0,0.0,False,False,False,False
1390.0,11.919181652756834,7.0,OFF,1.0,0.0,False,False,False,False
1400.0,11.990951987685063,7.0,OFF,1.0,0.0,False,False,False,False
1410.0,12.062722322613293,7.0,OFF,1.0,0.0,False,False,False,False
1420.0,12.134492657541523,7.0,OFF,1.0,0.0,False,False,False,False
1430.0,12.206262992469753,7.0,OFF,1.0,0.0,False,False,False,False
1440.0,12.278033327397983,7.0,OFF,1.0,0.0,False,False,False,False
1450.0,12.349803662326213,7.0,OFF,1.0,0.0,False,False,False,False
1460.0,12.421573997254443,7.0,OFF,1.0,0.0,False,False,False,False
1470.0,12.493344332182673,7.0,OFF,1.0,0.0,False,False,False,False
1480.0,12.565114667110903,7.0,OFF,1.0,0.0,False,False,False,False
1490.0,12.636885002039133,7.0,OFF,1.0,0.0,False,False,False,False
1500.0,12.708655336967363,7.0,OFF,1.0,0.0,False,False,False,False
1510.0,12.780425671895593,7.0,OFF,1.0,0.0,False,False,False,False
1520.0,12.852196006823823,7.0,OFF,1.0,0.0,False,False,False,False
1530.0,12.923966341752053,7.0,OFF,1.0,0.0,False,False,False,False
1540.0,12.995736676680282,7.0,OFF,1.0,0.0,False,False,False,False
1550.0,13.067507011608512,7.0,OFF,1.0,0.0,False,False,False,False
1560.0,13.139277346536742,7.0,OFF,1.0,0.0,False,False,False,False
1570.0,13.211047681464972,7.0,OFF,1.0,0.0,False,False,False,False
1580.0,13.282818016393202,7.0,OFF,1.0,0.0,False,False,False,False
1590.0,13.354588351321432,7.0,OFF,1.0,0.0,False,False,False,False
1600.0,13.426358686249662,7.0,OFF,1.0,0.0,False,False,False,False
1610.0,13.498129021177892,7.0,OFF,1.0,0.0,False,False,False,False
1620.0,13.569899356106122,7.0,OFF,1.0,0.0,False,False,False,False
1630.0,13.641669691034352,7.0,OFF,1.0,0.0,False,False,False,False
1640.0,13.713440025962582,7.0,OFF,1.0,0.0,False,False,False,False
1650.0,13.785210360890812,7.0,OFF,1.0,0.0,False,False,False,False
1660.0,13.856980695819042,7.0,OFF,1.0,0.0,False,False,False,False
1670.0,13.928751030747271,7.0,OFF,1.0,0.0,False,False,False,False
1680.0,14.000521365675501,7.0,OFF,1.0,0.0,False,False,False,False
1690.0,14.072291700603731,7.0,OFF,1.0,0.0,False,False,False,False
1700.0,14.144062035531961,7.0,OFF,1.0,0.0,False,False,False,False
1710.0,14.215832370460191,7.0,OFF,1.0,0.0,False,False,False,False
1720.0,14.287602705388421,7.0,OFF,1.0,0.0,False,False,False,False
1730.0,14.359373040316651,7.0,OFF,1.0,0.0,False,False,False,False
1740.0,14.431143375244881,7.0,OFF,1.0,0.0,False,False,False,False
1750.0,14.502913710173111,7.0,OFF,1.0,0.0,False,False,False,False
1760.0,14.57468404510134,7.0,OFF,1.0,0.0,False,False,False,False
1770.0,14.64645438002957,7.0,OFF,1.0,0.0,False,False,False,False
1780.0,14.7182247149578,7.0,OFF,1.0,0.0,False,False,False,False
1790.0,14.78999504988603,7.0,OFF,1.0,0.0,False,False,False,False
1800.0,14.86176538481426,7.0,OFF,1.0,0.0,False,False,False,False
