controller,anti_windup_enabled,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,unrestricted_command,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
PI_NO_ANTI_WINDUP,False,1530.0,5.692368048698957,8.803780515443513,7.0,-1.307631951301043,-0.3922895853903129,1782.5763336519085,1.7825763336519085,1.3902867482615955,30.0,5.0,65.02852055496122,1.0,1.0,100.0,-1.3642420526593924e-12
PI_NO_ANTI_WINDUP,False,1540.0,5.525040395851882,8.636179938625517,7.0,-1.4749596041481183,-0.4424878812444355,1769.500014138898,1.7695000141388981,1.3270121328944626,30.0,5.0,65.02281644396898,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1550.0,5.357685450607714,8.468606654204613,7.0,-1.6423145493922862,-0.4926943648176858,1754.7504180974167,1.7547504180974167,1.262056053279731,30.0,5.0,65.0182531551752,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1560.0,5.190308671445873,8.301055203701383,7.0,-1.809691328554127,-0.542907398566238,1738.3272726034938,1.738327272603494,1.195419874037256,30.0,5.0,65.01460252414014,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1570.0,5.022914425149893,8.133521220332291,7.0,-1.9770855748501068,-0.593125672455032,1720.2303593179527,1.7202303593179527,1.1271046868629206,30.0,5.0,65.01168201931212,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1580.0,4.855506205146602,7.966001210670511,7.0,-2.144493794853398,-0.6433481384560193,1700.4595035694515,1.7004595035694516,1.0571113651134323,30.0,5.0,65.00934561544969,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1590.0,4.688086806177462,7.798492379974579,7.0,-2.311913193822538,-0.6935739581467614,1679.0145656209174,1.6790145656209174,0.9854406074741561,30.0,5.0,65.00747649235976,0.9854406074741561,0.9854406074741561,98.54406074741561,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1600.0,4.527624680555185,7.630992492451327,7.0,-2.472375319444815,-0.7417125958334445,1655.895433682692,1.655895433682692,0.9141828378492476,30.0,5.0,64.86038726862937,0.9141828378492476,0.9141828378492476,91.41828378492475,-3.410605131648481e-13
PI_NO_ANTI_WINDUP,False,1610.0,4.400553405357599,7.464196381118172,7.0,-2.5994465946424006,-0.7798339783927202,1631.171680488244,1.631171680488244,0.8513377020955237,30.0,5.0,64.03013819339596,0.8513377020955237,0.8513377020955237,85.13377020955237,1.1368683772161603e-13
PI_NO_ANTI_WINDUP,False,1620.0,4.299579089490822,7.301372753398574,7.0,-2.7004209105091777,-0.8101262731527533,1605.17721454182,1.60517721454182,0.7950509413890666,30.0,5.0,62.73748757567201,0.7950509413890666,0.7950509413890666,79.50509413890666,7.958078640513122e-13
