time_s,python_supply_temperature_c,simulink_supply_temperature_c,supply_error_c,python_return_temperature_c,simulink_return_temperature_c,return_error_c,python_cooling_fraction,simulink_cooling_fraction,cooling_fraction_error,python_integral_state_c_s,simulink_integral_state_c_s,integral_state_error_c_s
1010,9.23786760153552,9.23786760153552,0,14.4927307233725,14.4927307233725,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1020,9.28488501419769,9.28488501419769,0,14.5414070906146,14.5414070906146,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1030,9.33206832231785,9.33206832231785,0,14.5899175623988,14.5899175623988,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1040,9.37938434680441,9.37938434680441,0,14.6382953178165,14.6382953178165,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1050,9.42680654438409,9.42680654438409,0,14.6865669001412,14.6865669001412,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1060,9.47431368043827,9.47431368043827,0,14.7347535439913,14.7347535439913,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1070,9.52188876727204,9.52188876727204,0,14.7828722370618,14.7828722370618,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1080,9.56951821472949,9.56951821472949,0,14.8309365695087,14.8309365695087,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1090,9.61719115068588,9.61719115068588,0,14.8789574134566,14.8789574134566,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1100,9.66489887744142,9.66489887744142,0,14.9269434666054,14.9269434666054,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1110,9.71263443683628,9.71263443683628,0,14.9749016871148,14.9749016871148,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1120,9.7603922623426,9.7603922623426,0,15.0228376415128,15.0228376415128,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1130,9.80816790073809,9.80816790073809,0,15.0707557830216,15.0707557830216,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1140,9.85595778944491,9.85595778944491,0,15.1186596742191,15.1186596742191,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1150,9.9037590784008,9.9037590784008,0,15.1665521651675,15.1665521651675,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1160,9.95156948755594,9.95156948755594,0,15.2144355359167,15.2144355359167,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1170,9.99938719287048,9.99938719287048,0,15.2623116105064,15.2623116105064,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1180,10.0472107351125,10.0472107351125,0,15.3101818481687,15.3101818481687,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1190,10.0950389468966,10.0950389468966,0,15.3580474162889,15.3580474162889,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1200,10.1428708943143,10.1428708943143,0,15.4059092487755,15.4059092487755,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1210,10.1907058302389,10.1907058302389,0,15.0231460831859,15.0231460831859,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1220,10.1954809560121,10.1954809560121,0,14.6834427277476,14.6834427277476,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1230,10.1658082336641,10.1658082336641,0,14.3781872204305,14.3781872204305,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1240,10.1085772328192,10.1085772328192,0,14.1004899916103,14.1004899916103,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1250,10.0292996091768,10.0292996091768,0,13.8448393855877,13.8448393855877,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
