controller,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
P,1670.0,8.662836891205732,11.051548476983422,7.0,1.6628368912057319,0.4988510673617195,0.0,0.0,50.0,5.0,49.92407214275372,0.4988510673617195,0.4988510673617195,49.885106736171956,1.6342482922482304e-12
P,1680.0,8.663023328557797,11.051911768166418,7.0,1.6630233285577969,0.49890699856733906,0.0,0.0,50.0,5.0,49.92776838782018,0.49890699856733906,0.49890699856733906,49.8906998567339,-2.7888802378583932e-12
P,1690.0,8.663200689950553,11.052257373966322,7.0,1.6632006899505534,0.49896020698516597,0.0,0.0,50.0,5.0,49.931284695929556,0.49896020698516597,0.49896020698516597,49.896020698516594,-9.059419880941277e-13
P,1700.0,8.663369417210902,11.05258615532551,7.0,1.6633694172109017,0.4990108251632705,0.0,0.0,50.0,5.0,49.93462982659532,0.4990108251632705,0.4990108251632705,49.90108251632705,-1.936228954946273e-12
P,1710.0,8.66352993065716,11.052898931274814,7.0,1.6635299306571607,0.4990589791971482,0.0,0.0,50.0,5.0,49.93781211290896,0.4990589791971482,0.4990589791971482,49.90589791971482,-2.7889912601608557e-12
P,1720.0,8.663682630146129,11.053196480973815,7.0,1.6636826301461287,0.4991047890438386,0.0,0.0,50.0,5.0,49.94083948229864,0.4991047890438386,0.4991047890438386,49.91047890438386,2.8953506259199457e-12
P,1730.0,8.663827896069167,11.053479545651813,7.0,1.6638278960691668,0.49914836882075003,0.0,0.0,50.0,5.0,49.9437194762773,0.49914836882075003,0.49914836882075003,49.914836882075,3.3039126989820033e-12
P,1740.0,8.6639660902998,11.053748830454314,7.0,1.6639660902998,0.49918982708994,0.0,0.0,50.0,5.0,49.94645926922934,0.49918982708994,0.49918982708994,49.918982708993994,2.6634250360757505e-13
P,1750.0,8.664097557095184,11.054005006199628,7.0,1.6640975570951841,0.4992292671285552,0.0,0.0,50.0,5.0,49.949065686282864,0.4992292671285552,0.4992292671285552,49.92292671285552,-1.4566126083082054e-12
P,1760.0,8.664222623953687,11.054248711049949,7.0,1.6642226239536875,0.49926678718610623,0.0,0.0,50.0,5.0,49.951545220311864,0.49926678718610623,0.49926678718610623,49.926678718610624,-1.0302869668521453e-12
