time_s,temperature_c,setpoint_c,cooling_fraction
1310.0,8.00069046624477,7.0,0.30020713987343084
1320.0,8.000640911251125,7.0,0.3001922733753375
1330.0,8.000594912835972,7.0,0.3001784738507915
1340.0,8.00055221574248,7.0,0.3001656647227442
1350.0,8.00051258303369,7.0,0.3001537749101068
1360.0,8.000475794777683,7.0,0.300142738433305
1370.0,8.000441646827133,7.0,0.3001324940481398
1380.0,8.000409949686428,7.0,0.30012298490592854
1390.0,8.00038052746013,7.0,0.30011415823803916
1400.0,8.000353216876867,7.0,0.30010596506306014
1410.0,8.000327866383312,7.0,0.3000983599149936
1420.0,8.00030433530317,7.0,0.30009130059095096
1430.0,8.000282493056531,7.0,0.3000847479169593
1440.0,8.00026221843525,7.0,0.3000786655305749
1450.0,8.000243398930328,7.0,0.30007301967909844
1460.0,8.000225930107577,7.0,0.3000677790322731
1470.0,8.000209715028086,7.0,0.3000629145084259
1480.0,8.000194663710282,7.0,0.3000583991130846
1490.0,8.000180692630597,7.0,0.300054207789179
1500.0,8.00016772425998,7.0,0.3000503172779938
1510.0,8.000155686633665,7.0,0.30004670599009947
1520.0,8.000144512951824,7.0,0.30004335388554715
1530.0,8.00013414120887,7.0,0.30004024236266086
1540.0,8.000124513849382,7.0,0.30003735415481464
1550.0,8.000115577448708,7.0,0.3000346732346125
1560.0,8.000107282416504,7.0,0.30003218472495125
1570.0,8.000099582721539,7.0,0.3000298748164617
1580.0,8.000092435636262,7.0,0.3000277306908785
1590.0,8.000085801499688,7.0,0.3000257404499065
1600.0,8.000079643497319,7.0,0.3000238930491957
1610.0,8.00007392745684,7.0,0.3000221782370522
1620.0,8.000068621658503,7.0,0.3000205864975509
1630.0,8.000063696659089,7.0,0.30001910899772655
1640.0,8.000059125128532,7.0,0.30001773753855954
1650.0,8.000054881698254,7.0,0.30001646450947633
1660.0,8.000050942820389,7.0,0.3000152828461166
1670.0,8.000047286637107,7.0,0.30001418599113217
1680.0,8.000043892859324,7.0,0.3000131678577972
1690.0,8.00004074265411,7.0,0.30001222279623274
1700.0,8.000037818540179,7.0,0.30001134556205356
1710.0,8.000035104290884,7.0,0.3000105312872652
1720.0,8.00003258484417,7.0,0.30000977545325114
1730.0,8.00003024621899,7.0,0.3000090738656972
1740.0,8.000028075437724,7.0,0.30000842263131716
1750.0,8.000026060454156,7.0,0.30000781813624666
1760.0,8.000024190086632,7.0,0.30000725702598974
1770.0,8.000022453956014,7.0,0.30000673618680407
1780.0,8.00002084242807,7.0,0.3000062527284209
1790.0,8.000019346560027,7.0,0.3000058039680081
1800.0,8.000017958050934,7.0,0.30000538741528027
