time_s,supply_temperature_c,return_temperature_c,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
780.0,8.341715944573279,10.425210428162712,50.0,5.0,43.545034707019155,0.40251478337198365,0.40251478337198365,40.251478337198364,-8.526512829121202e-13
790.0,8.357474587491081,10.456095429564535,50.0,5.0,43.86117559933517,0.4072423762473244,0.4072423762473244,40.72423762473244,-6.252776074688882e-13
800.0,8.372483860096835,10.485467795117955,50.0,5.0,44.161364241941406,0.4117451580290506,0.4117451580290506,41.17451580290506,-1.9895196601282805e-13
810.0,8.386775000953469,10.513403851376609,50.0,5.0,44.44654297384363,0.41603250028604055,0.41603250028604055,41.60325002860405,-9.521272659185342e-13
820.0,8.40037927341873,10.53997541609506,50.0,5.0,44.7175593819353,0.4201137820256191,0.4201137820256191,42.011378202561914,2.7284841053187847e-12
830.0,8.413327508726738,10.565250251588193,50.0,5.0,44.975185325804404,0.4239982526180213,0.4239982526180213,42.399825261802135,7.247535904753022e-13
840.0,8.425649805683687,10.589292427062812,50.0,5.0,45.22013078682372,0.427694941705106,0.427694941705106,42.769494170510605,-7.531752999057062e-13
850.0,8.437375339733032,10.612162614685666,50.0,5.0,45.45305404651003,0.4312126019199097,0.4312126019199097,43.12126019199097,1.5774048733874224e-12
860.0,8.44853224812786,10.633918336951167,50.0,5.0,45.67456925640712,0.4345596744383579,0.4345596744383579,43.45596744383579,-2.8990143619012088e-12
870.0,8.459147567805234,10.654614177829602,50.0,5.0,45.8852521495093,0.4377442703415701,0.4377442703415701,43.77442703415701,-9.237055564881302e-13
880.0,8.469247209505484,10.674301966587931,50.0,5.0,46.08564442302314,0.4407741628516453,0.4407741628516453,44.07741628516453,1.5916157281026244e-12
890.0,8.478855956576577,10.693030940640453,50.0,5.0,46.276257166935,0.44365678697297317,0.44365678697297317,44.36567869729732,-5.684341886080802e-14
900.0,8.487997480354748,10.710847891994831,50.0,5.0,46.45757360327774,0.4463992441064244,0.4463992441064244,44.639924410642436,3.836930773104541e-13
910.0,8.496694366443911,10.727797300591588,50.0,5.0,46.63005132368644,0.4490083099331734,0.4490083099331734,44.90083099331734,-2.4940050025179517e-12
920.0,8.504968147928931,10.743921456937585,50.0,5.0,46.79412415828086,0.45149044437867936,0.45149044437867936,45.149044437867936,-1.3713474800169934e-12
930.0,8.512839342763442,10.759260575797486,50.0,5.0,46.950203770411505,0.4538518028290326,0.4538518028290326,45.38518028290326,-5.897504706808832e-13
940.0,8.520327493421377,10.773852902254847,50.0,5.0,47.09868104461952,0.45609824802641297,0.45609824802641297,45.6098248026413,3.552713678800501e-13
950.0,8.527451207497828,10.787734811132266,50.0,5.0,47.23992731595975,0.45823536224934835,0.45823536224934835,45.823536224934834,2.1813661987835076e-12
